register,entry,lemma,reading,witnesses,source,resp,cert,type,isLemma
critical,ldlt-balex:0.1.1.0.66.2.3,"maiestate
                           imperio","maiestate
                           imperio",edprin,,,,,true
critical,ldlt-balex:0.1.1.0.66.2.3,"maiestate
                           imperio","magis
                           imperio",M U S T V,,,,,false
critical,ldlt-balex:0.1.1.0.66.2.3,"maiestate
                           imperio","magis imperio
                              quam",,,,low,conjecture,false
critical,ldlt-balex:0.1.1.0.66.3.0,Bithyno,Bithyno,,scripsimus,,,,true
critical,ldlt-balex:0.1.1.0.66.3.0,Bithyno,b(i/y)thino,M U S,,,,,false
critical,ldlt-balex:0.1.1.0.66.3.0,Bithyno,bithinio,T V,,,,,false
critical,ldlt-balex:0.1.1.0.66.3.1,"Cappadocum
                           genere","Cappadocum
                           genere",M U Tc V,,,,,true
critical,ldlt-balex:0.1.1.0.66.3.1,"Cappadocum
                           genere",cappado cum genere,S,,,,,false
critical,ldlt-balex:0.1.1.0.66.3.1,"Cappadocum
                           genere","cappadociae cum
                           genere",Tac,,,,,false
critical,ldlt-balex:0.1.1.0.66.3.3,"iure minime dubio,
                           uetustate tamen","iure minime dubio,
                           uetustate tamen",M U S T V,,,,,true
critical,ldlt-balex:0.1.1.0.66.3.4,sacerdotium,sacerdotium,T V,,,,,true
critical,ldlt-balex:0.1.1.0.66.3.4,sacerdotium,sacerdotum,S,,,,,false
critical,ldlt-balex:0.1.1.0.66.3.4,sacerdotium,sacerdotio,M U,,,,,false
critical,ldlt-balex:0.1.1.0.66.4.0,terreret  Ariobarzani,terreret  Ariobarzani,,Nipperdey,,,,true
critical,ldlt-balex:0.1.1.0.66.4.0,terreret  Ariobarzani,"terreret
                           Ariobarzani",M U S T V,,,,,false
critical,ldlt-balex:0.1.1.0.66.4.1,inceptum,inceptum,M U V,,,,,true
critical,ldlt-balex:0.1.1.0.66.4.1,inceptum,coeptum,S T,,,,,false
critical,ldlt-balex:0.1.1.0.67.0.0,tetrarches,tetrarches,Mc V,,,,,true
critical,ldlt-balex:0.1.1.0.67.0.0,tetrarches,tetriarches,T,,,,,false
critical,ldlt-balex:0.1.1.0.67.0.0,tetrarches,tetharces,Mac U,,,,,false
critical,ldlt-balex:0.1.1.0.67.0.0,tetrarches,thetarces,S,,,,,false
critical,ldlt-balex:0.1.1.0.67.0.1,Gallograeciae,Gallograeciae,,,,,,true
critical,ldlt-balex:0.1.1.0.67.0.1,Gallograeciae,gallogr(a)e(c/t)iae,M Uc T V,,,,,false
critical,ldlt-balex:0.1.1.0.67.0.1,Gallograeciae,gallogecie,Uac,,,,,false
critical,ldlt-balex:0.1.1.0.67.0.1,Gallograeciae,gallograe,S,,,,,false
critical,ldlt-balex:0.1.1.0.67.0.2,tetrarchae,tetrarchae,M T V,,,,,true
critical,ldlt-balex:0.1.1.0.67.0.2,tetrarchae,tetharc(a)e,Mac U S,,,,,false
critical,ldlt-balex:0.1.1.0.67.0.3,regiis,regiis,stigma,,,,,true
critical,ldlt-balex:0.1.1.0.67.0.3,regiis,regis,M U S T,,,,,false
critical,ldlt-balex:0.1.1.0.67.0.3,regiis,regibus,V,,,,,false
critical,ldlt-balex:0.1.1.0.67.0.4,tantum,tantum,stigma,,,,,true
critical,ldlt-balex:0.1.1.0.67.0.4,tantum,tanto,M U S T V,,,,,false
critical,ldlt-balex:0.1.1.0.67.0.6,Caesaris,Caesaris,M U S T V,,,,,true
critical,ldlt-balex:0.1.1.0.67.0.6,Caesaris,in Caesaris,,Cornelissen,,,,false
critical,ldlt-balex:0.1.1.0.67.0.7,"et coactus exercitibus imperiisque,","et coactus exercitibus imperiisque,",,Bensch-Schaus,,,,true
critical,ldlt-balex:0.1.1.0.67.0.7,"et coactus exercitibus imperiisque,",exercitibus imperiisque,M U S T V,,,,,false
critical,ldlt-balex:0.1.1.0.67.0.7,"et coactus exercitibus imperiisque,",excitusque imperiis,,Markland,,,,false
critical,ldlt-balex:0.1.1.0.67.0.7,"et coactus exercitibus imperiisque,",excitus imperiis,,Kraner,,,,false
critical,ldlt-balex:0.1.1.0.67.0.7,"et coactus exercitibus imperiisque,","excitus uerbis
                           imperiisque",,Madvig,,,,false
critical,ldlt-balex:0.1.1.0.67.0.7,"et coactus exercitibus imperiisque,","excitus precibus
                           imperiisque",,Larsen,,,,false
critical,ldlt-balex:0.1.1.0.67.0.7,"et coactus exercitibus imperiisque,",coercitus exercitibus imperiisque,,Dinter,,,,false
critical,ldlt-balex:0.1.1.0.67.0.7,"et coactus exercitibus imperiisque,","exercitibus imperiisque
                              aduersariorum coactus",,Klotz,,,,false
critical,ldlt-balex:0.1.1.0.67.0.7,"et coactus exercitibus imperiisque,",et coactus potestatibus imperiisque,,,,low,conjecture,false
critical,ldlt-balex:0.1.1.0.67.0.8,in,in,M Uc S T V,,,,,true
critical,ldlt-balex:0.1.1.0.67.0.8,in,,Uac,,,,,false
critical,ldlt-balex:0.1.1.0.67.1.0,"se debuisse
                           iudicem","se debuisse
                           iudicem",Mc U T,,,,,true
critical,ldlt-balex:0.1.1.0.67.1.0,"se debuisse
                           iudicem",se buisse iudicem,Mac,,,,,false
critical,ldlt-balex:0.1.1.0.67.1.0,"se debuisse
                           iudicem","se iudicem
                           debuisse",S,,,,,false
critical,ldlt-balex:0.1.1.0.67.1.0,"se debuisse
                           iudicem","se diebus se
                           iudicem",V,,,,,false
critical,ldlt-balex:0.1.1.0.67.1.1,controuersiarum populi Romani,controuersiarum populi Romani,U S T,,,,,true
critical,ldlt-balex:0.1.1.0.67.1.1,controuersiarum populi Romani,controuersiarum,M,,,,,false
critical,ldlt-balex:0.1.1.0.67.1.1,controuersiarum populi Romani,controuersiarum publicarum rerum,V,,,,,false
critical,ldlt-balex:0.1.1.0.68.0.1,"defensionem
                           eius","defensionem
                           eius",M Uc S T V,,,,,true
critical,ldlt-balex:0.1.1.0.68.0.1,"defensionem
                           eius",defensonem eius,Uac,,,,,false
critical,ldlt-balex:0.1.1.0.68.0.1,"defensionem
                           eius",defectionem eius,stigma,,,,,false
critical,ldlt-balex:0.1.1.0.68.0.1,"defensionem
                           eius",defensionem eius,,Dauisius1727,,,,false
critical,ldlt-balex:0.1.1.0.68.0.2,posse,posse,M U S T V,,,,,true
critical,ldlt-balex:0.1.1.0.68.0.2,posse,"posse
                              se",,Dauisius1727,,,,false
critical,ldlt-balex:0.1.1.0.68.0.3,eius,eius,M U S T V,,,,,true
critical,ldlt-balex:0.1.1.0.68.0.3,eius,eius,,Clarke,,,,false
critical,ldlt-balex:0.1.1.0.68.0.4,quis deinde post L. Lentulum C. Marcellum consul esset,quis deinde post L. Lentulum C. Marcellum consul esset,Mc,,,,,true
critical,ldlt-balex:0.1.1.0.68.0.4,quis deinde post L. Lentulum C. Marcellum consul esset,quis deinde post l lentulum c marcellum consules sed,Mac,,,,,false
critical,ldlt-balex:0.1.1.0.68.0.4,quis deinde post L. Lentulum C. Marcellum consul esset,quis deinde post l lentulum c marcellum consules se,S,,,,,false
critical,ldlt-balex:0.1.1.0.68.0.4,quis deinde post L. Lentulum C. Marcellum consul esset,"qui
                           deinde post l lentulum c marcellum consules",T V,,,,,false
critical,ldlt-balex:0.1.1.0.68.0.4.0.0,deinde,deinde,M U S T V,,,,,true
critical,ldlt-balex:0.1.1.0.68.0.4.0.0,deinde,denique,,Nipperdey,,,,false
critical,ldlt-balex:0.1.1.0.68.0.5,frequentes,frequentes,M U T,,,,,true
critical,ldlt-balex:0.1.1.0.68.0.5,frequentes,frequenter,S V,,,,,false
critical,ldlt-balex:0.1.1.0.68.0.6,concurrissent,concurrissent,S T V,,,,,true
critical,ldlt-balex:0.1.1.0.68.0.6,concurrissent,concucurrissent,M Uc,,,,,false
critical,ldlt-balex:0.1.1.0.68.0.6,concurrissent,concucurissent,Uac,,,,,false
critical,ldlt-balex:0.1.1.0.68.1.0,natura,natura,M U S,,,,,true
critical,ldlt-balex:0.1.1.0.68.1.0,natura,matura,T V,,,,,false
critical,ldlt-balex:0.1.1.0.68.1.0,natura,armatura,,Cuiacius,,,,false
critical,ldlt-balex:0.1.1.0.69.0.0,abduxerat,abduxerat,M U S Vc,,,,,true
critical,ldlt-balex:0.1.1.0.69.0.0,abduxerat,abduxerant,Vac,,,,,false
critical,ldlt-balex:0.1.1.0.69.0.0,abduxerat,adduxerat,T,,,,,false
critical,ldlt-balex:0.1.1.0.69.0.1,mille,mille,stigma,,,,,true
critical,ldlt-balex:0.1.1.0.69.0.1,mille,cum,M U S T V,,,,,false
critical,ldlt-balex:0.1.1.0.69.0.2,quae,quae,stigma,,,,,true
critical,ldlt-balex:0.1.1.0.69.0.2,quae,quas,M U S T V,,,,,false
critical,ldlt-balex:0.1.1.0.69.1.0,a Pharnace missi,a Pharnace missi,S T,,,,,true
critical,ldlt-balex:0.1.1.0.69.1.0,a Pharnace missi,missi a Pharnace,V,,,,,false
critical,ldlt-balex:0.1.1.0.69.1.0,a Pharnace missi,ab Pharnace missi,M,,,,,false
critical,ldlt-balex:0.1.1.0.69.1.0,a Pharnace missi,ad Pharnacem missi,U,,,,,false
critical,ldlt-balex:0.1.1.0.70.1.0,mitibus,mitibus,M S Tc V,,,,,true
critical,ldlt-balex:0.1.1.0.70.1.0,mitibus,militibus,U Tac,,,,,false
critical,ldlt-balex:0.1.1.0.70.1.1,gloriarentur,gloriarentur,M U,,,,,true
critical,ldlt-balex:0.1.1.0.70.1.1,gloriarentur,glorientur,S T V,,,,,false
critical,ldlt-balex:0.1.1.0.70.2.0,non,non,,Vascosanus,,,,true
critical,ldlt-balex:0.1.1.0.70.2.0,non,non,M U S T V,,,,,false
critical,ldlt-balex:0.1.1.0.70.3.0,quamquam,quamquam,,Dinter,,,,true
critical,ldlt-balex:0.1.1.0.70.3.0,quamquam,quam,M U S T V,,,,,false
critical,ldlt-balex:0.1.1.0.70.3.0,quamquam,quam,stigma,,,,,false
critical,ldlt-balex:0.1.1.0.70.3.0,quamquam,quin,,Nipperdey,,,,false
critical,ldlt-balex:0.1.1.0.70.4.0,itaque se,itaque se,M U S,,,,,true
critical,ldlt-balex:0.1.1.0.70.4.0,itaque se,itaque,T V,,,,,false
critical,ldlt-balex:0.1.1.0.70.7.0,"si fecisset,
                           iam","si fecisset,
                           iam",M U S T V,,,,,true
critical,ldlt-balex:0.1.1.0.70.7.0,"si fecisset,
                           iam","id si fecisset
                           iam",,Schneider,,,,false
critical,ldlt-balex:0.1.1.0.70.7.0,"si fecisset,
                           iam","quae si fecisset
                           iam",,Klotz,,,,false
critical,ldlt-balex:0.1.1.0.70.7.0,"si fecisset,
                           iam","si fecisset
                           haec",,Menge,,,,false
critical,ldlt-balex:0.1.1.0.70.7.0,"si fecisset,
                           iam","si fecisset
                           omnia",,,,low,conjecture,false
critical,ldlt-balex:0.1.1.0.70.7.1,enim ei,enim ei,M U,,,,,true
critical,ldlt-balex:0.1.1.0.70.7.1,enim ei,enim,S T V,,,,,false
critical,ldlt-balex:0.1.1.0.71.0.0,praecurrentem,praecurrentem,M U S T V,,,,,true
critical,ldlt-balex:0.1.1.0.71.0.0,praecurrentem,percurrentem,,Kraner,,,,false
critical,ldlt-balex:0.1.1.0.71.0.1,proficisceretur,proficisceretur,S T V,,,,,true
critical,ldlt-balex:0.1.1.0.71.0.1,proficisceretur,proficisceretur existimabat,M U,,,,,false
critical,ldlt-balex:0.1.1.0.71.0.2,longiorem,longiorem,S T V,,,,,true
critical,ldlt-balex:0.1.1.0.71.0.2,longiorem,longiores,M U,,,,,false
critical,ldlt-balex:0.1.1.0.72.0.0,munitum,munitum,M U S T V,,,,,true
critical,ldlt-balex:0.1.1.0.72.0.0,munitum,munito,,Nipperdey,,,,false
critical,ldlt-balex:0.1.1.0.72.1.1,huic,huic,M,,,,,true
critical,ldlt-balex:0.1.1.0.72.1.1,huic,hoc,U S T V,,,,,false
critical,ldlt-balex:0.1.1.0.72.1.2,"multique
                           intercisi","multique
                           intercisi",M U S T V,,,,,true
critical,ldlt-balex:0.1.1.0.72.1.2,"multique
                           intercisi","multisque
                           intercisi",,Schneider,,,,false
critical,ldlt-balex:0.1.1.0.72.1.2,"multique
                           intercisi","multique
                           intercisis",,,,low,conjecture,false
critical,ldlt-balex:0.1.1.0.72.1.3,"unus, qui","unus, qui",M U T V,,,,,true
critical,ldlt-balex:0.1.1.0.72.1.3,"unus, qui",qui,S,,,,,false
